id, datum
1808118597, 1998-04-24
8594308996, 1987-09-04
9712198066, 1958-05-27
3544487896, 1977-10-03
2362045921, 1993-05-20
4666743170, 1972-09-16
4081093137, 1976-09-09
7419554550, 1983-03-24
6881789927, 1957-04-23
7670098100, 1963-05-30
5552152416, 1987-07-23
5713364332, 1990-01-21
8660770792, 1970-05-06
2689607545, 1996-10-09
4752290092, 1973-07-08
3577737521, 1983-04-22
2552375928, 1950-07-09
5093453735, 2002-10-17
3808906802, 1950-03-14
6693925384, 1987-11-29
4715716501, 1978-01-28
1018882063, 1995-12-01
9413126225, 1982-10-19
3240443252, 1976-04-11
3478104688, 1963-04-30
5862219748, 1980-03-30
8674303871, 1968-05-20
4241183753, 1975-05-21
9738618443, 1953-12-01
4768614506, 1969-06-27
4657509172, 1993-05-18
9258115517, 1976-07-08
2856996388, 2005-08-15
1760758339, 1994-04-30
6355880814, 1957-01-12
6811811759, 1962-10-30
5688004113, 1972-07-05
6016188722, 1990-06-06
7144858224, 1950-01-04
5993352797, 1956-10-11
1261553497, 1973-07-28
7841647403, 1950-11-18
8561312643, 1985-10-24
9424623288, 1955-02-07
2844259468, 1983-03-23
2921742105, 1980-08-04
1879040851, 2002-06-02
4377364342, 1966-07-17
1847047762, 1983-02-08
3010034646, 1960-04-01
2413063789, 1971-02-13
4897186883, 1956-08-20
2516791356, 1985-06-04
5610633103, 1953-10-02
6210467980, 1991-06-04
7001262836, 1955-05-02
9621140399, 1952-05-05
2585146848, 1977-11-25
1881468362, 1978-02-17
8117625658, 1961-10-21
8723504413, 1996-07-18
6920983305, 1994-02-22
8440191458, 1979-11-18
1923232638, 1971-10-27
4500370609, 1977-01-28
1194998230, 1971-09-17
4990099522, 1967-04-28
7587713310, 1984-07-20
3401843791, 1974-07-22
3021083245, 1980-01-06
7824078621, 1991-06-18
1669976935, 1978-12-12
8578766237, 1986-10-29
4095998192, 1959-07-18
2651266019, 1962-09-09
7709304548, 1998-01-11
5151767226, 1972-04-07
1992989806, 1959-11-17
3610562377, 1964-07-27
4280172401, 2003-01-28
6995859691, 1964-02-24
9651602484, 1992-04-26
3721413777, 1989-04-29
4290623787, 1954-09-14
4983249877, 1972-12-04
8677636323, 1961-01-18
1255220711, 1954-05-04
4243471346, 1981-11-05
9945312061, 1993-07-17
6744557011, 1956-08-06
9427191112, 1999-10-11
3344807220, 1999-01-02
3476254827, 1962-03-16
5726280707, 1950-11-03
1157984890, 1951-11-29
7992768846, 1956-04-27
3085394538, 1955-08-03
2722961999, 1959-09-19
9596352412, 1978-04-27
9572582445, 1974-01-24
9997961909, 1997-06-22
3436887763, 1953-01-22
6335585483, 1991-12-01
7691240108, 1968-06-21
9932419216, 1966-12-06
3473884394, 1979-03-01
8275127837, 1966-02-17
1936554856, 1998-08-11
2520579450, 1954-07-29
2295234128, 1983-10-22
2010980567, 1961-12-08
8022435271, 1966-01-30
3732591201, 1981-08-13
1499990704, 1987-10-12
1777606581, 1972-01-05
2861270554, 1959-07-08
8070771565, 1982-08-22
4502770712, 1974-01-01
7726808000, 1975-01-11
6883015850, 1954-12-26
2607735314, 1952-03-07
6019902744, 2005-09-20
6850504119, 1961-08-01
3416459617, 1979-07-19
2891348665, 1992-08-11
7036823524, 1957-05-26
7082969567, 1995-06-09
8909228502, 1992-06-22
3363106305, 1959-01-30
1880999700, 1956-05-21
2866585984, 1976-07-14
9318980617, 2003-08-01
9087362894, 1992-04-15
9583279071, 1971-03-07
7031404245, 1965-01-01
9160435375, 1978-04-23
4256484381, 1969-04-20
4969287146, 1954-05-15
9918967537, 2005-06-04
9948237832, 1980-07-19
1458230995, 1952-01-16
2449860005, 1967-06-13
1876176284, 1975-03-22
2606760037, 1985-06-26
3293737622, 1952-10-13
7268757825, 1979-05-08
7808384672, 2005-10-06
7702591481, 1976-06-19
5553348883, 1998-08-09
6092412389, 1965-12-31
3826445001, 1984-11-10
5925777923, 1988-02-11
8830731310, 1975-01-22
9961064180, 1965-11-09
6588307946, 1958-03-30
9884782788, 1953-05-09
7155136412, 1974-02-16
8064966387, 1963-04-24
9865184569, 1988-06-27
6402739496, 1986-11-03
7961951887, 1972-12-13
7368454345, 1971-05-01
2919937440, 1977-12-19
7840700815, 1990-04-11
9766225579, 1958-05-20
2655179679, 1990-12-05
3392593215, 1952-06-04
9828563505, 1997-12-31
7559807503, 1973-04-09
6290306788, 1982-08-01
1582389587, 1961-06-26
2217322010, 1984-02-28
5561404425, 1975-01-29
5642500168, 1967-10-24
1051392003, 1997-06-19
7027580526, 1989-03-14
7083320609, 1977-04-23
8082479012, 1980-04-24
3269746905, 1997-04-02
4662717773, 1966-07-15
2444196735, 1957-02-05
4809472603, 1960-12-16
7821373747, 1960-05-14
5839895579, 2002-10-26
6863215245, 1960-05-26
8914916173, 1969-05-23
8633422077, 1953-08-14
9438369562, 1978-05-01
5066808451, 1960-04-11
9028654479, 1978-07-05
9354127560, 1978-01-03
2352450683, 1992-07-19
9157136221, 1985-12-04
5786516184, 1977-03-18
3682269076, 1952-03-08
6537080898, 1993-02-20
6740321381, 1950-08-10
5800708075, 1975-02-27
6561205057, 1981-04-29
5481749735, 1981-08-24
4539788118, 2002-06-03
5086309406, 1963-06-20
7981760900, 1954-01-15
5748322236, 2005-10-01
8019985922, 1982-08-23
1796929604, 1990-09-16
9363669551, 1954-10-13
8586866197, 1955-09-06
3725326503, 1995-03-31
5245695336, 1978-12-26
1025512707, 1963-10-16
8870831856, 1990-10-03
6123388401, 1980-03-26
1309786745, 1973-11-21
6672238775, 1973-03-13
8681576031, 1978-03-26
2990059792, 1957-07-29
3803685018, 1998-03-10
7266124550, 1973-03-12
5446696158, 1979-04-17
8560394290, 2004-09-10
2664760107, 2004-03-08
6208913324, 1967-03-09
4225648277, 2000-08-30
4422443360, 1982-12-29
3636352587, 2001-02-08
4288068315, 1957-03-27
9906274016, 1994-01-12
3791295610, 1992-02-29
4423698222, 1977-03-25
4615077422, 1979-09-08
5700832004, 2003-03-16
2408929646, 1985-10-19
4115289352, 1972-05-25
4197117996, 1951-09-27
7103836123, 1957-03-09
3335472234, 1970-12-25
5301517513, 1951-12-10
4155439490, 1989-03-23
5333915067, 1969-08-23
7607683823, 1961-06-14
7503120731, 1968-06-28
4928528984, 1964-05-06
6497295149, 1972-08-08
8878466950, 1955-07-08
4852707941, 1995-07-15
5681345518, 2005-01-31
5767046746, 2004-09-21
8522502475, 1975-08-19
3040279598, 1950-06-06
3875611025, 1958-07-26
7891848129, 2004-01-11
4325018800, 1986-11-28
3613684304, 1951-04-01
4148875153, 1973-02-13
5037281483, 1956-09-01
3135388260, 1968-01-05
2070680846, 1967-07-23
6971787077, 1964-04-06
7907412035, 1950-08-23
6851115863, 1978-10-07
4326225830, 1999-01-06
3632030326, 1970-02-05
2131262150, 2003-07-21
7771055287, 1951-10-24
9492920052, 1966-01-31
3228232377, 1966-06-25
1743922543, 1959-07-04
8879434979, 1955-10-05
3746807434, 1964-07-11
4800909472, 1960-10-31
9121819616, 2000-12-11
7381201650, 1989-09-18
8986057385, 1986-09-11
9801669630, 1990-01-20
2426942958, 1960-01-09
2882100570, 1962-08-27
6221492151, 1989-09-07
1216084956, 2001-07-23
8981094688, 1959-04-25
7730597274, 1978-11-21
1101738864, 1979-05-14
5657609182, 1972-09-20
3802880348, 1954-11-03
9922270044, 1993-03-04
5776563023, 1961-10-27
2726126429, 1998-08-04
4867147677, 1990-11-19
3593723760, 2000-11-28
9827867550, 1995-02-20
7974244701, 1988-11-19
5259795823, 1973-07-25
1891786608, 1961-01-21
4619691549, 1951-12-02
9451342876, 1982-04-23
4061510472, 1982-09-04
7509098106, 1993-05-25
1513768926, 1950-02-19
7425927485, 2002-02-25
6504781783, 1976-12-22
7392682009, 1961-05-09
6035602908, 1973-10-04
6238775669, 1990-05-21
2956290489, 1960-09-20
2909638383, 1961-11-08
5495445613, 1976-03-30
2047806168, 1972-10-15
3803785273, 1985-01-28
9558061410, 1994-01-13
1638999365, 1979-05-31
5866740138, 1962-07-01
8597923335, 1975-01-24
6399282584, 1979-01-28
4761731560, 1965-12-29
8729451399, 1953-02-02
6562357578, 1962-02-17
2125399081, 1988-12-20
1478814982, 2004-04-29
8532633581, 1998-02-04
5882131054, 1985-09-10
3509726744, 1995-06-14
8488586160, 1970-03-22
6218433251, 1992-06-15
9358447650, 1973-03-21
4047259656, 1999-06-13
5995256712, 1970-08-04
5146345743, 1993-12-07
4319733200, 1981-08-06
8087835308, 1961-08-06
2281863944, 1997-05-17
6897890291, 1992-01-01
5066233758, 1958-08-05
8448867505, 1978-12-07
7739525711, 1988-08-08
2875047895, 2005-07-15
4170077995, 1976-05-24
1679356725, 1969-05-20
3451104818, 2005-03-19
8051848913, 1984-01-03
8458355322, 1981-10-17
7387016918, 1961-06-11
2324343200, 1953-12-24
1011362370, 1968-04-11
1251511005, 1956-06-20
3211863187, 1973-05-29
2224082559, 1952-06-18
2011190985, 1981-11-29
5813233659, 1988-04-14
7999497396, 1957-06-20
7739128396, 1979-09-16
8557796228, 1967-07-05
1300909166, 1951-07-07
5814398496, 1969-09-18
3010373196, 1953-01-31
9164651657, 1976-07-03
7226334756, 1967-11-26
9319442812, 1952-08-20
3143484234, 1975-03-12
2006367103, 1994-02-20
